,concept_1,concept_2,colexification_count,age_acquisition_diff
660,BOOK,ROOM,1,30.0
661,BOOK,SALT,1,19.0
662,BOOK,SNAKE,1,75.0
663,BOOK,SWALLOW,1,94.0
664,BOOT,BUNCH,2,66.0
665,BOOT,ELECTION,1,277.0
666,BOOT,ICE,1,10.0
667,BOOT,POUND,1,57.0
668,BOOT,STATUE,1,155.0
669,BORDER,BOUNDARY,13,55.0
670,BORDER,EDGE,4,109.0
671,BORDER,LINE,1,142.0
672,BORDER,MOUSE,1,175.0
673,BORDER,PIG,1,184.0
674,BORDER,WOOD,1,148.0
675,BOUNDARY,CHICKEN,1,222.0
676,BOUNDARY,COUNTRY,4,143.0
677,BOUNDARY,EDGE,22,164.0
678,BOUNDARY,ELEPHANT,1,250.0
679,BOUNDARY,LINE,1,197.0
680,BOUNDARY,PAINTING,1,214.0
681,BOUNDARY,PART,1,158.0
682,BOUNDARY,PIG,1,239.0
683,BOUNDARY,PITY,1,119.0
684,BOUNDARY,PORT,1,100.0
685,BOUNDARY,YEAR,2,203.0
686,BOW,BRANCH,1,32.0
687,BOW,BURN (SOMETHING),1,54.0
688,BOW,CHEEK,1,4.0
689,BOW,CIRCLE,2,57.0
690,BOW,DEER,1,10.0
691,BOW,DOOR,1,57.0
692,BOW,DRINK,2,60.0
693,BOW,ELEPHANT,1,49.0
694,BOW,ENEMY,1,96.0
695,BOW,EXCHANGE,1,172.0
696,BOW,FACE,8,105.0
697,BOW,FIREWOOD,1,60.0
698,BOW,FOREST,1,26.0
699,BOW,FROG,2,13.0
700,BOW,GRANDFATHER,1,57.0
701,BOW,GUN,3,43.0
702,BOW,HEN,1,52.0
703,BOW,KICK,1,43.0
704,BOW,LINE,1,4.0
705,BOW,MALE (OF ANIMAL),1,112.0
706,BOW,NOSE,2,65.0
707,BOW,ONION,2,15.0
708,BOW,SCRATCH,1,2.0
709,BOW,SNAKE,1,18.0
710,BOW,SONG,1,29.0
711,BOW,SUMMER,5,18.0
712,BOW,SWEEP,1,10.0
713,BOW,TURN (SOMETHING),1,38.0
714,BOW,VILLAGE,1,46.0
715,BOW,WALK,1,65.0
716,BOW,WAR,3,43.0
717,BOW,WATER,1,118.0
718,BOW,WINDOW,1,40.0
719,BOWL,EMBRACE,1,236.0
