Unnamed: 0,concept_1,concept_2,colexification_count,age_acquisition_diff,assoc,Word2Vec_similarity
356,BEAM,MEASURE,3,50.0,0.0,0.28470709919929504
357,BEAM,PILLOW,1,177.0,0.0,0.43300363421440125
358,BEAM,POST,10,88.0,0.0,0.285062313079834
359,BEAM,SQUARE,1,144.0,0.0,0.3135205805301666
360,BEAM,STABLE,1,102.0,0.0,0.38608455657958984
362,BEAM,VICTORY,1,17.0,0.0,0.3127501904964447
363,BEAM,WILLOW,1,8.0,0.0,0.3755451440811157
364,BEAM,WOOD,7,125.0,14.0,0.2135203778743744
365,BEAM,WORM,1,141.0,0.0,0.20732523500919342
366,BED,BIRD,1,37.0,0.0,0.2787324786186218
367,BED,BLANKET,2,42.0,5.0,0.38740596175193787
368,BED,BOWL,1,87.0,0.0,0.30048108100891113
369,BED,BRAIN,2,178.0,0.0,0.18175853788852692
370,BED,BRIDGE,9,120.0,0.0,0.39251869916915894
371,BED,CHEEK,1,98.0,0.0,0.34405040740966797
372,BED,COPPER,1,259.0,0.0,0.252875953912735
373,BED,DOG,1,0.0,0.0,0.3764524459838867
374,BED,EGG,1,17.0,0.0,0.31129443645477295
375,BED,HIDE,3,87.0,0.0,0.32733291387557983
377,BED,IRON,1,112.0,0.0,0.31872865557670593
378,BED,ISLAND,1,120.0,0.0,0.2823534905910492
379,BED,KNEE,1,62.0,0.0,0.32558825612068176
380,BED,MOUSE,1,73.0,0.0,0.319577693939209
382,BED,RUG,1,64.0,0.0,0.39642441272735596
383,BED,SALT,1,64.0,0.0,0.2621408700942993
384,BED,SCHOOL,1,59.0,0.0,0.35506269335746765
385,BED,SCRATCH,1,100.0,0.0,0.27955329418182373
386,BED,VILLAGE,1,148.0,0.0,0.21740037202835083
387,BED,WALK,1,37.0,0.0,0.37521231174468994
388,BED,WOUND,1,203.0,0.0,0.41323408484458923
389,BEEHIVE,CANOE,1,50.0,0.0,0.39550653100013733
390,BEEHIVE,DOOR,1,130.0,0.0,0.46752530336380005
392,BEEHIVE,HONEY,3,58.0,65.0,0.4734128713607788
394,BEEHIVE,PRISONER,1,17.0,0.0,0.35358136892318726
395,BEEHIVE,SAP,1,120.0,0.0,0.10408724844455719
397,BEGINNING,CAUSE,3,97.0,0.0,0.38735708594322205
398,BERRY,GRAPE,6,8.0,1.0,0.5076559782028198
399,BEVERAGE,COVER,1,78.0,0.0,0.3967810273170471
400,BEVERAGE,DRINK,10,0.0,61.0,0.5976930260658264
401,BEVERAGE,MONEY,1,36.0,0.0,0.45939818024635315
402,BEVERAGE,PEPPER,1,58.0,0.0,0.5506342053413391
403,BEVERAGE,PIG,1,22.0,0.0,0.29362940788269043
404,BEVERAGE,SAP,8,253.0,0.0,0.17048119008541107
405,BEVERAGE,SERVANT,1,195.0,0.0,0.47309187054634094
406,BEVERAGE,WAIST,1,114.0,0.0,0.6045417189598083
407,BEVERAGE,WATER,29,58.0,10.0,0.5036889314651489
408,BEVERAGE,WINE,5,192.0,3.0,0.45366495847702026
409,BEVERAGE,YEAR,1,58.0,0.0,0.39128565788269043
410,BILL,BLAME,1,78.0,0.0,0.5249446034431458
411,BILL,TAX,1,63.0,1.0,0.5230312943458557
412,BIRD,BITE,2,8.0,0.0,0.43080922961235046
413,BIRD,BLOOD,3,47.0,0.0,0.40481507778167725
414,BIRD,CATTLE,3,55.0,0.0,0.39171019196510315
415,BIRD,CHICKEN,41,44.0,3.0,0.39796170592308044
416,BIRD,CROW,1,102.0,1.0,0.4507260024547577
417,BIRD,DARKNESS,1,36.0,0.0,0.36207252740859985
418,BIRD,DOG,2,37.0,1.0,0.43418753147125244
419,BIRD,DUCK,3,42.0,1.0,0.4682255983352661
422,BIRD,EGG,1,20.0,3.0,0.38330069184303284
423,BIRD,EYE,1,39.0,0.0,0.42231279611587524
425,BIRD,FIGHT,2,55.0,0.0,0.41182440519332886
427,BIRD,FLESH,2,205.0,0.0,0.4160943329334259
428,BIRD,GRANDMOTHER,5,2.0,0.0,0.31636181473731995
429,BIRD,HEN,5,13.0,0.0,0.4368487596511841
430,BIRD,HOME,1,27.0,0.0,0.44361650943756104
431,BIRD,INSECT,1,77.0,0.0,0.515406608581543
432,BIRD,LIFT,1,105.0,0.0,0.313270628452301
433,BIRD,LIGHTNING,1,125.0,0.0,0.3404320180416107
435,BIRD,MOTHER,1,62.0,0.0,0.35366231203079224
436,BIRD,MOUNTAIN,1,77.0,0.0,0.4333076477050781
437,BIRD,OMEN,1,352.0,0.0,0.2758190929889679
438,BIRD,POISON,1,158.0,0.0,0.3325729966163635
440,BIRD,SALT,4,27.0,0.0,0.28850415349006653
442,BIRD,SNAKE,3,83.0,0.0,0.5013214945793152
443,BIRD,SONG,3,36.0,9.0,0.4669685959815979
444,BIRD,SUN,1,25.0,0.0,0.28167855739593506
445,BIRD,VOICE,1,69.0,0.0,0.32288527488708496
446,BIRD,WASH,1,20.0,0.0,0.2184353917837143
447,BIRD,WOOD,2,63.0,0.0,0.27534881234169006
448,BIRD,YEAR,1,63.0,0.0,0.3050874173641205
